,Date,Tweet Id,Content,Username,LikeCount,retweetCount,source
39,2020-02-16 15:21:27+00:00,1229063246067326976,@MillaJovobitch I was eating wings! Lol,ravensymone,109,6,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
40,2020-02-14 00:42:01+00:00,1228117154119110656,This part https://t.co/eM7T6YZ5Hi,ravensymone,82,17,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
41,2020-02-07 13:57:20+00:00,1225780588121972736,Ya know. Goals nowadays #SanDiego made this happen for sure #slackerradio #iHeartRadio @AustinBrown and EVERYONE INVOLVED IN THE REVELATION TO SELF https://t.co/K2gVHmlMmM,ravensymone,152,23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
42,2020-01-24 20:28:08+00:00,1220805504387047425,"#infrasounds should we make more?  They might not be able to wrap their mind around it. Oh well, I’ll do it for me, for us, for the release. #33000",ravensymone,98,23,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
43,2020-01-24 20:24:39+00:00,1220804626313707520,Just the #essentials today please! https://t.co/kLa2krizYT,ravensymone,725,98,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
44,2020-01-16 19:51:16+00:00,1217897125033332737,#33000infrasounds https://t.co/V2jIUuOycp,ravensymone,203,32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
45,2020-01-16 19:49:42+00:00,1217896731385294848,More on @instagram #33000infrasounds https://t.co/RESZMy6LpG,ravensymone,159,26,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
46,2020-01-16 19:43:15+00:00,1217895105832448000,#33000 #infrasounds. Coming soon,ravensymone,88,25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
47,2020-01-11 00:51:35+00:00,1215798373694881792,"Ok so, me and reality are on touchy ground. But #TheCircleNetflix is my SHIT!!!! #teamShubham I’m only on the 7th episode but I’m hooked",ravensymone,692,59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
48,2019-12-26 18:29:45+00:00,1210266466257227776,@chihiros YES!!! I’m soooo excited!,ravensymone,7,5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
49,2019-12-26 18:29:18+00:00,1210266350158876672,"Thank you all for the love with this LP! It brought us so much joy to make, and I’m glad y’all are feeling the feeling we had. Hope everyone’s holidays are going smoothly! New Years here we ALLL come",ravensymone,278,42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
50,2019-12-21 19:00:33+00:00,1208462277764009984,@robinthicke Did you hear my LP? #33000 just wondering,ravensymone,19,4,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
51,2019-12-21 18:54:35+00:00,1208460776622608384,@StevieSoFetch_ I was told to eat small meals throughout the day! Haha! J/k! But I got you. #newmusic #2020,ravensymone,82,11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
52,2019-12-16 02:55:18+00:00,1206407422199263232,"#33000raven thank you all for the great questions. Please head over to instagram I’m going live (while eating dinner) PLEASE tell your friends, ya mama and ya daddy’s friends it’s not the music you hear nowadays! Love you all with all of my heart. Xoxo",ravensymone,168,31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
53,2019-12-16 02:53:37+00:00,1206406998591279104,@TinkDoesHairrr #33000raven hey girl! Yeah to put more out!,ravensymone,7,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
54,2019-12-16 02:53:04+00:00,1206406859927633920,@jaynavelente #33000raven eek that’s a 18+ lyric 😳 let’s just say it’s an adult topic,ravensymone,12,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
55,2019-12-16 02:51:08+00:00,1206406377079312384,"@DeShaunArtis #33000raven @AustinBrown is determined to get me performing, but he is gonna have to drop #blackcastle first",ravensymone,10,4,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
56,2019-12-16 02:49:56+00:00,1206406074921668609,"@laforme10 #33000raven let’s just say I combed through word choices, meaning, and placement more than I sang the songs. Imma #Sagittarius it’s what we do",ravensymone,7,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
57,2019-12-16 02:49:07+00:00,1206405869312733184,@lifeoftheperry #33000raven That’s what happens to me too. The song on replay depends on my mood but there is a vibe for every vibe.. except club. That’s next,ravensymone,7,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
58,2019-12-16 02:48:03+00:00,1206405598390079489,@rapperROYALTEE #33000raven yes it is my art work!,ravensymone,5,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
59,2019-12-16 02:46:19+00:00,1206405161448402944,@yungxguap_ #33000raven it makes me feel like I did the right thing in releasing music! It gives me faith in entertainment again!,ravensymone,10,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
60,2019-12-16 02:45:39+00:00,1206404993604931584,@Haney_Bella314 #33000raven I’d pick them all. It’s four so it’s possible!,ravensymone,5,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
61,2019-12-16 02:45:04+00:00,1206404849778085888,@jaynavelente @AustinBrown #33000raven yes 3 songs didn’t make the LP. But they will still be released. In due time,ravensymone,10,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
62,2019-12-16 02:44:27+00:00,1206404694110699522,@JoseAzBaby @AppleMusic @Spotify #33000raven it is avail on all these platforms. https://t.co/900dgxxvKF,ravensymone,8,5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
63,2019-12-16 02:43:49+00:00,1206404535213682688,@valu8899 #33000raven the squad have talked about ideas but like with any art it can’t be forced. So it will happen when it happens,ravensymone,3,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
64,2019-12-16 02:43:04+00:00,1206404346855845889,@douglasvaasquez @AustinBrown #33000raven it was the most comfortable I’ve ever been,ravensymone,5,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
65,2019-12-16 02:42:10+00:00,1206404118979334145,@AdkinsAlexandre #33000raven just ask! Hehe,ravensymone,8,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
66,2019-12-16 02:41:45+00:00,1206404013341597696,@chloeis__ #33000raven oh yes but I don’t remember. Some were obvious and some took some time.,ravensymone,3,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
67,2019-12-16 02:40:58+00:00,1206403814904852480,@douglasvaasquez @AustinBrown #33000raven it wa so liberating to know that the vibration I was living I. Was producible! @AustinBrown and @ajjenkinsmusic made a comfortable environment for me to grow,ravensymone,5,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
68,2019-12-16 02:38:32+00:00,1206403205266993152,@douglasvaasquez @AustinBrown #33000raven I would say #Undecided because Austin and I went back and forth on what the sound of my voice should be. Let’s just say he won.,ravensymone,9,5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
69,2019-12-16 02:37:15+00:00,1206402883110916096,@tinaaabridge #33000raven that’s definitely a possibility 😉,ravensymone,9,3,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
70,2019-12-16 02:36:14+00:00,1206402626935349251,@laforme10 @AustinBrown #33000raven the conversations we had in the rooms while creating these song helped everyone grow as human beings. 25 mins until instagram live !,ravensymone,12,7,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
71,2019-12-16 02:33:45+00:00,1206402000415412225,@jaynavelente #33000raven my favorite lyric is “kind of emotional but I’m really not” #LeftBehind,ravensymone,7,2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
72,2019-12-16 02:31:57+00:00,1206401549464784897,@Queen__Nikaa #33000raven to me the easiest song was #weirdday and the hardest was #undecided,ravensymone,7,6,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
